u_s,size_mm,flow_velocity,duty,low_flow_fraction,outcome
1.5333042685505474,0.5504408962337854,1.945227082234276,0.65,0.35,active
1.2283592344116565,0.8384841914392818,1.945227082234276,0.65,0.35,active
1.506396645883918,0.34342410230306614,1.945227082234276,0.65,0.35,active
1.286750055719432,0.641754519143745,1.945227082234276,0.65,0.35,active
1.5556320980465375,0.9779067773008813,1.945227082234276,0.65,0.35,active
1.3566121037422696,0.6780189043324103,1.945227082234276,0.65,0.35,active
1.2163122585062762,0.7458629504844119,1.945227082234276,0.65,0.35,active
1.495579887987419,0.6018309974152134,1.945227082234276,0.65,0.35,active
1.2793117666482576,0.8626699223247616,1.945227082234276,0.65,0.35,active
1.583769045266512,0.5269486634339787,1.945227082234276,0.65,0.35,active
1.4589296023958183,0.5535965360308537,1.945227082234276,0.65,0.35,active
1.4306006186689395,0.8123863517648844,1.945227082234276,0.65,0.35,active
1.392097531681178,0.6622558089363217,1.945227082234276,0.65,0.35,active
1.4967609707771414,0.9242963649781759,1.945227082234276,0.65,0.35,active
1.1701588553758417,0.5840297939475407,1.945227082234276,0.65,0.35,active
1.2383636497972557,0.2685710507928332,1.945227082234276,0.65,0.35,active
1.719826968441377,0.963042181813049,1.945227082234276,0.65,0.35,heavy
1.3489146518700315,0.5122473794871091,1.945227082234276,0.65,0.35,active
1.4148363576569598,0.5843568846523726,1.945227082234276,0.65,0.35,active
1.5745968027683077,0.6817699560018178,1.945227082234276,0.65,0.35,active
1.3184802306945564,0.737844796890505,1.945227082234276,0.65,0.35,active
1.1923041529623035,0.6355219935644137,1.945227082234276,0.65,0.35,active
1.4263807834508526,0.2907494404278498,1.945227082234276,0.65,0.35,active
1.494430406797282,0.8111204904904917,1.945227082234276,0.65,0.35,active
1.242707727952588,0.6406088739623387,1.945227082234276,0.65,0.35,active
1.4710846243442257,0.7320545234760495,1.945227082234276,0.65,0.35,active
1.6147923560900295,0.6325549148714056,1.945227082234276,0.65,0.35,heavy
1.673167516191135,0.8308070001206991,1.945227082234276,0.65,0.35,heavy
1.428742133444289,0.7458861990527531,1.945227082234276,0.65,0.35,active
1.1444373902121452,0.5832971967488851,1.945227082234276,0.65,0.35,active
1.674333658057929,0.7623370687506829,1.945227082234276,0.65,0.35,heavy
1.4645032140832444,0.9126222605365892,1.945227082234276,0.65,0.35,active
1.2810988472816274,0.8151046683535028,1.945227082234276,0.65,0.35,active
1.0556817910269038,0.272928126317468,1.945227082234276,0.65,0.35,light
1.495728146066114,0.9626630881884248,1.945227082234276,0.65,0.35,active
1.1890121006139065,0.8042158731573295,1.945227082234276,0.65,0.35,active
1.1259287977225354,0.6502559033091553,1.945227082234276,0.65,0.35,active
1.623296576487468,0.8680843731404564,1.945227082234276,0.65,0.35,heavy
1.0831634112058477,0.8714428363069263,1.945227082234276,0.65,0.35,active
1.1292480554120736,0.7404667505644926,1.945227082234276,0.65,0.35,active
1.2269340908005668,0.8433755071155131,1.945227082234276,0.65,0.35,active
1.3204561294700186,0.7471847541661366,1.945227082234276,0.65,0.35,active
1.5641539538597329,0.8986139732220348,1.945227082234276,0.65,0.35,active
1.582597924961757,0.5981342615388399,1.945227082234276,0.65,0.35,active
1.4536129069470294,0.3293158018668177,1.945227082234276,0.65,0.35,active
1.464567337968516,0.7165829620301565,1.945227082234276,0.65,0.35,active
1.4297852625477359,0.34572634885682885,1.945227082234276,0.65,0.35,active
1.620438713320585,0.5553226306057575,1.945227082234276,0.65,0.35,heavy
1.3375601059583015,0.6428230953094095,1.945227082234276,0.65,0.35,active
1.2560167440446606,0.6002046332655917,1.945227082234276,0.65,0.35,active
1.6559865993135736,0.6804544864401054,1.945227082234276,0.65,0.35,heavy
1.1441583482484174,0.337171132922277,1.945227082234276,0.65,0.35,active
1.4965185359984963,0.6377029331630579,1.945227082234276,0.65,0.35,active
1.5225517744094432,0.7050264691783275,1.945227082234276,0.65,0.35,active
1.7176752867641834,0.9819099074996331,1.945227082234276,0.65,0.35,heavy
1.558891360981101,0.5224374099833553,1.945227082234276,0.65,0.35,active
1.288638270578499,0.6743444265868173,1.945227082234276,0.65,0.35,active
1.4762463563891717,0.8405931521610088,1.945227082234276,0.65,0.35,active
1.3264804883255361,0.9463416545824628,1.945227082234276,0.65,0.35,active
1.5288252493078844,0.7348579392172602,1.945227082234276,0.65,0.35,active
1.3451302761877584,0.5523415709735235,1.945227082234276,0.65,0.35,active
1.237210273457877,0.9701925443759932,1.945227082234276,0.65,0.35,active
1.5027159823726841,0.647580531385739,1.945227082234276,0.65,0.35,active
1.5246771481362895,0.5212075710101614,2.298904733549599,0.4,0.35,heavy
1.3492359479302305,0.7368544005746178,2.298904733549599,0.4,0.35,active
1.238406080114796,0.6343207644793329,2.298904733549599,0.4,0.35,active
1.476139935064131,0.6952851027029538,2.298904733549599,0.4,0.35,active
1.3466542575780325,0.9019933708225373,2.298904733549599,0.4,0.35,active
1.5996935789743567,0.5898245654316732,2.298904733549599,0.4,0.35,heavy
1.0242070945117518,0.7095675530187446,2.298904733549599,0.4,0.35,light
1.0771841922664385,0.6753686213716714,2.298904733549599,0.4,0.35,active
1.4227478971856078,0.2545800577847099,2.298904733549599,0.4,0.35,active
1.4642143858692922,0.580668945316573,2.298904733549599,0.4,0.35,active
1.6612022372640716,0.7128700410052016,2.298904733549599,0.4,0.35,heavy
1.4222528880109542,0.6550923581297928,2.298904733549599,0.4,0.35,active
1.5768545994126428,0.888579460562331,2.298904733549599,0.4,0.35,heavy
1.4135799085133416,0.5558470966977889,2.298904733549599,0.4,0.35,active
1.3988469762270477,0.30632061373557845,2.298904733549599,0.4,0.35,active
1.4210032493809643,0.6539151017239997,2.298904733549599,0.4,0.35,active
1.4678453627133348,0.8695356184531019,2.298904733549599,0.4,0.35,active
1.4556902624981145,0.9344656978705628,2.298904733549599,0.4,0.35,active
1.1617631128811214,0.6440808125933044,2.298904733549599,0.4,0.35,active
1.4142189664029088,0.9594763374951407,2.298904733549599,0.4,0.35,active
1.5230883178928891,0.5210497315322298,2.298904733549599,0.4,0.35,heavy
